(-1.1711375350794091, 'delicious')
(-1.1663610565145124, 'ubereats')
(-1.1640947272424917, 'uberpool')
(-1.163923565032654, 'androidkitkat')
(-1.1608236955842162, 'driver')
(-1.1546782251092822, 'disneyfalloween')
(-1.1508540626905901, 'chanelhautecouture')
(-1.1471916217562612, 'ibmcloud')
(-1.1452597489909619, 'louisvuitton celebratingmonogram')
(-1.1449512787663072, 'driving')
(-1.1373632419559216, 'has_url didyouknow')
(-1.136058077553896, 'donations')
(-1.1306061243759287, 'ibminsight')
(-1.1290975988654286, 'has_url good')
(-1.1253532766587742, 'is_authentic_yes discrep_yes')
(-1.119148161010858, 'things')
(-1.1183298514998561, 'has_url new')
(-1.1106803650408938, 'assent_yes few_sixltr')
(-1.1070572606977322, 'company')
(-1.1038590750593706, 'life')
(-1.1002566464606067, 'has_url apple')
(-1.0953915145409141, 'ibmandtwitter')
(-1.0891436251923865, 'ibmer')
(-1.0885751885397761, 'worldnutelladay')
(-1.0869732247612263, 'playstation')
(-1.0849690825020049, 'health')
(-1.0834549440712831, 'digital transformation')
(-1.083235258927407, 'sf')
(-1.0821978591477917, 'named')
(-1.0811646176933789, 'flavor')
(-1.0783903968074759, 'has_url sap')
(-1.0780184908182262, 'emoji')
(-1.0766078090941567, 'certain_yes differ_yes')
(-1.0738813337080009, 'supply')
(-1.0708661778851751, 'has_video has_url')
(-1.0663271654172763, 'newwaytowork')
(-1.0663239018368147, 'developed')
(-1.0559395823518876, 'likely')
(-1.0551819661868749, 'future')
(-1.0532694807663596, 'decision')
(-1.0497539233774908, 'is_analytic_no discrep_yes')
(-1.0475501811956709, 'rad')
(-1.0475460506799139, 'has_url wishing')
(-1.0467795945192095, 'sky')
(-1.0466801884905905, 'portrait')
(-1.0464048887640418, 'ladies')
(-1.0427568514434971, '2015 16')
(-1.0423247159786018, '3d printed')
(-1.0421068464639804, 'bed')
(-1.0399682064483062, 'has_url business')
(-1.0385219310689562, 'station')
(-1.0368036830865173, 'energy')
(-1.0367704692750743, 'skittlescloud')
(-1.0364455703001187, 'wake')
(-1.0361183544561869, 'few_sixltr')
(-1.0303267497752209, 'complicated')
(-1.0298790740768411, 'high school')
(-1.0275193672889174, 'drop')
(-1.0252454918225047, 'got')
(-1.0235533115261783, 'affiliation_yes reward_yes')
(-1.0195117636638502, 'theforceawakens')
(-1.0170036298381553, '26')
(-1.0117314219531435, 'anger_yes discrep_yes')
(-1.0097566929270729, 'dreams')
(-1.0094097031375109, 'iii')
(-1.0055797381200444, 'alice')
(-1.0051424485733842, 'digitalization')
(-1.0048560400526769, '3millionmeals')
(-1.0026139628432247, 'follow chance')
(-1.0023086224052253, '000 people')
(-1.000408359912367, 'scientists')
(-1.0001299739736773, 'disneyland60')
(-0.99981289110828175, 'cocoa')
(-0.99910730686168259, 'insight_yes many_sixltr')
(-0.99898851211518458, 'pic')
(-0.99819958583715529, 'has_url women')
(-0.99779863206298081, 'songs')
(-0.99708297063296725, 'sb48')
(-0.99392731608132245, 'has_url food')
(-0.98762755210245579, 'oh')
(-0.98750889602602532, '10 21')
(-0.98709166205154097, 'drivers')
(-0.98651775327736846, 'begun')
(-0.98455837758334774, 'capabilities')
(-0.98376622411490966, 'has_qmark has_photo')
(-0.97837863577407091, 'uberdata')
(-0.97803054244062593, 'is_analytic_no differ_yes')
(-0.97442423401744649, 'cinderella')
(-0.9740781629504186, 'wonder')
(-0.97338968985486729, 'curie')
(-0.97268875958504286, 'women tech')
(-0.96965807600671439, 'fair')
(-0.96771707707163135, 'club')
(-0.96769816252977658, 'marketing')
(-0.965669250750404, 'facing')
(-0.96396842955558304, 'animated')
(-0.96318661741670786, 'power')
(-0.96179149973383193, 'women')
(-0.95974500018536379, 'truth')
(-0.95816994871606742, 'green')
(-0.9581185790923884, 'cityhangout')
(-0.95773827740828188, 'monstergirlmonday')
(-0.95771403637479091, 'manufacturing')
(-0.95741168589300807, 'eat')
(-0.95628238483720174, 'discrep_yes tentat_yes')
(-0.95542532527582713, 'ridesharing')
(-0.95528868743387851, 'rail')
(-0.9547602242443437, 'infallible')
(-0.94865937189020144, 'goldenglobes')
(-0.94752853036667017, 'judy')
(-0.94718427651530712, 'reduce')
(-0.94694408009000541, 'has_url wanna')
(-0.94405444406128525, 'monstergirl')
(-0.94403574084159003, 'shave')
(-0.94032151219814675, 'perfect way')
(-0.93750285318664905, 'blind')
(-0.9362273674097098, 'lvcruise')
(-0.93494091293581838, 'has_url making')
(-0.93362246719971997, 'dark')
(-0.9333499855286258, 'has_exclam has_animated_gif')
(-0.93313711547877487, 'garage')
(-0.9327424182771179, 'presented')
(-0.93211139187655723, 'chance win')
(-0.93116419918798665, 'break')
(-0.92898812582083468, 'drink coffee')
(-0.9284167062139157, 'november')
(-0.92793434240282802, 'flavored')
(-0.92673345009779529, 'ginni')
(-0.92673345009779529, 'ginni rometty')
(-0.92673345009779529, 'rometty')
(-0.92559690945989737, 'like')
(-0.92554913882306611, 'civic')
(-0.92527561810941261, 'bestwithinyourgrasp')
(-0.92479591872018008, 'is_authentic_no see_yes')
(-0.92433748919994863, 'kriswu')
(-0.92348145924705893, 'spread')
